商品管理番号（商品URL）,商品名,SKU管理番号,システム連携用SKU番号,バリエーション項目キー1,バリエーション項目選択肢1,バリエーション項目キー2,バリエーション項目選択肢2,バリエーション項目キー3,バリエーション項目選択肢3,バリエーション項目キー4,バリエーション項目選択肢4,バリエーション項目キー5,バリエーション項目選択肢5,バリエーション項目キー6,バリエーション項目選択肢6,通常購入販売価格
"10001244","【 お得なクーポンで★最大20％OFF 】＼レビュー特典付き／フィリップス ソニッケアー 替えブラシ 互換 電動歯ブラシ 替えブラシ 互換ブラシ 歯垢除去 ホワイトニング 歯間 RP1 PKT2-2F","","","","","","","","","","","","","","",""
"10001244","","3350","tb-23-03-hx664-p","horizontal-key","HX664-P","","","","","","","","","","","780"
"10001244","","3351","tb-23-03-hx924-p","horizontal-key","HX924-P","","","","","","","","","","","780"
"10001244","","3352","tb-23-03-hx934-p","horizontal-key","HX934-P","","","","","","","","","","","780"
"10001314","【 お得なクーポンで★最大20％OFF 】＼レビュー特典付き／イヤーパッド ブラック 交換用 ヘッドホン ソフトフォーム RPR RP1","","","","","","","","","","","","","","",""
"10001314","","r-sku00000001","ep-anker-25-01-q10-no-no","Key0","Q10用","Key1","なし","Key2","なし","","","","","","","980"
"10001314","","r-sku00000002","ep-anker-25-01-q10-no-black","Key0","Q10用","Key1","なし","Key2","ブラック","","","","","","","1680"
"10001314","","r-sku00000003","ep-anker-25-01-q10-no-white","Key0","Q10用","Key1","なし","Key2","ホワイト","","","","","","","1680"
"10001314","","r-sku00000004","ep-anker-25-01-q10-no-blue","Key0","Q10用","Key1","なし","Key2","ブルー","","","","","","","1680"
"10001314","","r-sku00000005","ep-anker-25-01-q10-no-red","Key0","Q10用","Key1","なし","Key2","レッド","","","","","","","1680"
"10001314","","r-sku00000006","ep-anker-25-01-q10-tool-no","Key0","Q10用","Key1","購入","Key2","なし","","","","","","","1280"
"10001314","","r-sku00000007","ep-anker-25-01-q10-tool-black","Key0","Q10用","Key1","購入","Key2","ブラック","","","","","","","1980"
"10001314","","r-sku00000008","ep-anker-25-01-q10-tool-white","Key0","Q10用","Key1","購入","Key2","ホワイト","","","","","","","1980"
"10001314","","r-sku00000009","ep-anker-25-01-q10-tool-blue","Key0","Q10用","Key1","購入","Key2","ブルー","","","","","","","1980"
"10001314","","r-sku00000010","ep-anker-25-01-q10-tool-red","Key0","Q10用","Key1","購入","Key2","レッド","","","","","","","1980"
"10001314","","r-sku00000011","ep-anker-25-01-q20-no-no","Key0","Q20用","Key1","なし","Key2","なし","","","","","","","980"
"10001314","","r-sku00000012","ep-anker-25-01-q20-no-black","Key0","Q20用","Key1","なし","Key2","ブラック","","","","","","","1680"
